date,ticker,sentiment_pos,sentiment_neg,sentiment_neu,n_filings,net_sentiment
2018-01-31,BIIB,0.022328950464725494,0.027721675112843513,0.949949324131012,1,-0.005392724648118019
2018-02-12,BIIB,0.022783346474170685,0.028560074046254158,0.9486566185951233,1,-0.005776727572083473
2018-04-26,BIIB,0.023480281233787537,0.027688968926668167,0.948830783367157,1,-0.0042086876928806305
2018-05-18,BIIB,0.022888896986842155,0.028631115332245827,0.9484800696372986,1,-0.005742218345403671
2018-07-25,BIIB,0.02348310686647892,0.0275941900908947,0.9489227533340454,1,-0.004111083224415779
2018-10-24,BIIB,0.022322993725538254,0.027704957872629166,0.9499720931053162,1,-0.005381964147090912
2018-12-17,BIIB,0.022427547723054886,0.0309047419577837,0.9466676712036133,1,-0.008477194234728813
2019-01-23,BIIB,0.022105468437075615,0.029580816626548767,0.9483137726783752,1,-0.007475348189473152
2019-02-05,BIIB,0.02257971279323101,0.027103357017040253,0.9503169059753418,1,-0.004523644223809242
2019-02-22,BIIB,0.023235740140080452,0.02754277177155018,0.9492214918136597,1,-0.0043070316314697266
2019-04-02,BIIB,0.02378908172249794,0.02709365449845791,0.9491171836853027,1,-0.0033045727759599686
2019-04-30,BIIB,0.023651737719774246,0.027345707640051842,0.9490025043487549,1,-0.0036939699202775955
2019-06-05,BIIB,0.023276347666978836,0.027894170954823494,0.9488294720649719,1,-0.004617823287844658
2019-06-07,BIIB,0.022675594314932823,0.02715417556464672,0.9501702785491943,1,-0.004478581249713898
2019-07-25,BIIB,0.023298729211091995,0.027609901502728462,0.9490914344787598,1,-0.004311172291636467
2019-07-31,BIIB,0.023743724450469017,0.027264220640063286,0.9489920735359192,1,-0.003520496189594269
2022-05-18,BIIB,0.023608896881341934,0.028116319328546524,0.9482747316360474,1,-0.00450742244720459
