event_date,ticker,event_type,outcome,strategy,window_return_pct_t-3_to_t+5
2022-06-17,ABBV,APPROVAL,APPROVED,PPO_PriceOnly,8.316638352355788
2022-06-17,ABBV,APPROVAL,APPROVED,BuyHold_Equal,9.014623618309493
2022-06-17,ABBV,APPROVAL,APPROVED,EqualWeight_Monthly,9.003222793033249
2022-06-17,ABBV,APPROVAL,APPROVED,Momentum_20D,6.307625024050001
2022-06-17,ABBV,APPROVAL,APPROVED,XPH,13.291266852655781
2022-06-17,ABBV,APPROVAL,APPROVED,PPO_PriceSentiment,6.711697637020775
2022-06-17,ABBV,APPROVAL,APPROVED,PPO_Phase5_BasicFDA,7.972392833377784
2022-06-17,ABBV,APPROVAL,APPROVED,PPO_Phase5_RichFDA,8.243265170366643
2022-06-17,ABBV,APPROVAL,APPROVED,PPO_Phase5_RichFDA_CT,7.340505380241469
2022-06-17,ABBV,APPROVAL,APPROVED,PPO_Phase6_SEC,9.994269630864716
2022-01-14,PFE,APPROVAL,APPROVED,PPO_PriceOnly,-4.367329726433011
2022-01-14,PFE,APPROVAL,APPROVED,BuyHold_Equal,-4.874799033918553
2022-01-14,PFE,APPROVAL,APPROVED,EqualWeight_Monthly,-4.874799033918553
2022-01-14,PFE,APPROVAL,APPROVED,Momentum_20D,0.0
2022-01-14,PFE,APPROVAL,APPROVED,XPH,-7.819649542086527
2022-01-14,PFE,APPROVAL,APPROVED,PPO_PriceSentiment,-2.8480814150874334
2022-01-14,PFE,APPROVAL,APPROVED,PPO_Phase5_BasicFDA,-3.357003114044399
2022-01-14,PFE,APPROVAL,APPROVED,PPO_Phase5_RichFDA,-4.257560438923591
2022-01-14,PFE,APPROVAL,APPROVED,PPO_Phase5_RichFDA_CT,-4.04783784192565
2022-01-14,PFE,APPROVAL,APPROVED,PPO_Phase6_SEC,-3.550611621332267
2023-10-06,AMGN,APPROVAL,APPROVED,PPO_PriceOnly,1.3712321333661626
2023-10-06,AMGN,APPROVAL,APPROVED,BuyHold_Equal,2.799392468217188
2023-10-06,AMGN,APPROVAL,APPROVED,EqualWeight_Monthly,2.247960377660485
2023-10-06,AMGN,APPROVAL,APPROVED,Momentum_20D,3.8674120831662773
2023-10-06,AMGN,APPROVAL,APPROVED,XPH,-2.072535848042112
2023-10-06,AMGN,APPROVAL,APPROVED,PPO_PriceSentiment,0.7603762528221925
2023-10-06,AMGN,APPROVAL,APPROVED,PPO_Phase5_BasicFDA,3.5882668468942613
2023-10-06,AMGN,APPROVAL,APPROVED,PPO_Phase5_RichFDA,1.6279975240258926
2023-10-06,AMGN,APPROVAL,APPROVED,PPO_Phase5_RichFDA_CT,2.0923884725436714
2023-10-06,AMGN,APPROVAL,APPROVED,PPO_Phase6_SEC,1.5906635035662253
2023-01-06,BIIB,APPROVAL,APPROVED,PPO_PriceOnly,-1.0417211961417983
2023-01-06,BIIB,APPROVAL,APPROVED,BuyHold_Equal,0.03702450904012888
2023-01-06,BIIB,APPROVAL,APPROVED,EqualWeight_Monthly,-0.14469593097746758
2023-01-06,BIIB,APPROVAL,APPROVED,Momentum_20D,-1.9168986734947935
2023-01-06,BIIB,APPROVAL,APPROVED,XPH,5.295560431856483
2023-01-06,BIIB,APPROVAL,APPROVED,PPO_PriceSentiment,-1.4981785280151483
2023-01-06,BIIB,APPROVAL,APPROVED,PPO_Phase5_BasicFDA,-0.15138894676375303
2023-01-06,BIIB,APPROVAL,APPROVED,PPO_Phase5_RichFDA,1.2156034482398326
2023-01-06,BIIB,APPROVAL,APPROVED,PPO_Phase5_RichFDA_CT,-0.8947877557106909
2023-01-06,BIIB,APPROVAL,APPROVED,PPO_Phase6_SEC,-0.1815585880202475
2022-12-20,BIIB,ADCOM,POSITIVE,PPO_PriceOnly,-1.9755118946489292
2022-12-20,BIIB,ADCOM,POSITIVE,BuyHold_Equal,-1.8946150304500864
2022-12-20,BIIB,ADCOM,POSITIVE,EqualWeight_Monthly,-2.0347538096422424
2022-12-20,BIIB,ADCOM,POSITIVE,Momentum_20D,-2.079294525469244
2022-12-20,BIIB,ADCOM,POSITIVE,XPH,-3.2245167061995317
2022-12-20,BIIB,ADCOM,POSITIVE,PPO_PriceSentiment,-1.294496917318133
2022-12-20,BIIB,ADCOM,POSITIVE,PPO_Phase5_BasicFDA,-3.8334782948435064
2022-12-20,BIIB,ADCOM,POSITIVE,PPO_Phase5_RichFDA,-4.91000195974387
2022-12-20,BIIB,ADCOM,POSITIVE,PPO_Phase5_RichFDA_CT,-2.5442597113023657
2022-12-20,BIIB,ADCOM,POSITIVE,PPO_Phase6_SEC,-1.4923560284716864
